,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ndufa9,2.6587228993700887,2.6588609472403713,-0.0,-0.0,-0.0,2.659275180453281,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
egfl6,-0.0,2.8696371059277217,-0.0,1.0055136247993752,-0.0,2.8703575343999654,-0.0,-0.0,-0.0,1.0055136247993752,1.0056183196303627,-0.0,-0.0,-0.0
lck,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.3093584810589258,3.61310598153112,-0.0,1.3087827507154695,3.61310598153112,-0.0
tssk3,2.6587228993700887,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.659275180453281
cttnbp2,-0.0,2.1274557311219113,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.7074772659614976,-0.0,-0.0,0.7073868550618014
galnt1,-0.0,-0.0,-0.0,0.7073868550618014,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
myf5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
mkrn2,-0.0,-0.0,-0.0,-0.0,-0.0,1.1426550419495745,1.1423257000137823,-0.0,-0.0,-0.0,-0.0,1.142764850643938,-0.0,1.1426550419495745
pparg,-0.0,-0.0,-0.0,-0.0,-0.0,0.2579360283200348,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.2579360283200348
raf1,-0.0,-0.0,2.1283268195975737,4.154939082382404,2.128109004590994,0.7073868550618014,0.7071157040441169,-0.0,-0.0,-0.0,0.7074772659614976,0.7074772659614976,-0.0,0.7073868550618014
sept1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pdgfb,-0.0,2.340337611354486,2.341237984543341,2.341012848454188,-0.0,0.7919841219191488,-0.0,-0.0,-0.0,-0.0,-0.0,0.7920791202139625,-0.0,-0.0
acvrl1,-0.0,2.6588609472403713,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.659275180453281,-0.0,-0.0,-0.0,-0.0
grasp,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
acvr1b,-0.0,-0.0,-0.0,-0.0,-0.0,1.7782259672184901,1.7778473443708578,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
tom1l2,-0.0,-0.0,1.142764850643938,1.1426550419495745,-0.0,-0.0,-0.0,-0.0,-0.0,3.20685465807427,-0.0,-0.0,1.1426550419495745,-0.0
gpa33,-0.0,-0.0,-0.0,-0.0,-0.0,1.3086676483718502,-0.0,-0.0,-0.0,-0.0,-0.0,3.613361798738244,-0.0,-0.0
zfp385a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
itga5,-0.0,-0.0,-0.0,2.1342326183302225,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.134364696725099,-0.0,-0.0,-0.0
gabra2,-0.0,-0.0,-0.0,2.1342326183302225,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
wdr77,-0.0,-0.0,-0.0,-0.0,-0.0,2.659275180453281,-0.0,2.6591370885847816,-0.0,2.659275180453281,-0.0,-0.0,2.659275180453281,-0.0
adora3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
atp5f1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
sox9,-0.0,-0.0,-0.0,-0.0,2.659275180453281,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
hnrnpd,0.5693108335895718,1.7746895354214247,0.5697194253444113,-0.0,-0.0,0.5696376802862545,0.5693925245730228,-0.0,0.5701283549715344,0.5696376802862545,1.7755037651592895,1.7755037651592895,0.5696376802862545,-0.0
dynlt1c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c1d,-0.0,2.584989550810608,0.8903206742615508,-0.0,-0.0,0.8902209156343668,2.584989550810608,0.8901211706220011,0.8908196808370362,0.8902209156343668,-0.0,-0.0,0.8902209156343668,-0.0
gm2a,0.8898220204459178,0.8899217225303052,0.8903206742615508,2.5856871740285885,0.8902209156343668,-0.0,4.949080155996047,0.8901211706220011,-0.0,2.5856871740285885,-0.0,-0.0,-0.0,-0.0
krit1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
clcn4,0.5127792094237968,1.6269399107779738,0.5131673817217218,1.6275298664927786,-0.0,-0.0,0.5128568170167218,0.5130120731257143,-0.0,0.513089720990894,0.5131673817217218,0.5131673817217218,1.6275298664927786,-0.0
grm6,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
sema4f,1.3082073808385668,1.3083224258548614,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.3086676483718502,-0.0,-0.0,-0.0,-0.0
hk2,1.3749357773221735,0.4184849698681686,-0.0,0.41869481442658846,0.41869481442658846,0.41869481442658846,0.4184849698681686,-0.0,-0.0,-0.0,1.3758523031168113,0.4187647878392347,0.41869481442658846,-0.0
myo18a,2.14628538778998,2.146569622668071,0.2836385517680837,0.28358212605390465,-0.0,2.1474225845437367,0.2834129187196502,0.9988868161637553,-0.0,0.28358212605390465,-0.0,2.1477069902273223,-0.0,-0.0
sez6,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
haao,1.4942730295307274,-0.0,3.043785158885211,3.043460177574575,0.46309035616687666,3.043460177574575,-0.0,1.4948426614884491,-0.0,1.4950325953977215,0.46316409424362626,-0.0,-0.0,3.043460177574575
cd52,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
